mode_type,street,lat,long
bike,WOODROW AVE,42.286114189119,-71.0887095476647
ped,,42.3054354753442,-71.1146383184237
mv,FREEPORT ST,42.3062870295107,-71.0575748161457
ped,,42.3129854768397,-71.0572039948733
ped,JOHN ELIOT SQ,42.3299509661671,-71.0911741737325
ped,CENTRE ST,42.3227794320856,-71.1000705645264
bike,FOURTH ST,42.342760283479,-71.0616347173307
ped,BERKELEY ST,42.3514740144529,-71.0731613046261
mv,,42.2392568381461,-71.1321019021923
bike,,42.3581502115521,-71.1545203700797
mv,,42.3382680685935,-71.106132673401
mv,CENTRE ST,42.2927333772915,-71.0641951685435
mv,COLUMBIA RD,42.3295269142045,-71.0352011814394
ped,DORCHESTER AVE,42.3009063720883,-71.0599712785387
bike,,42.3156213348172,-71.1170089789974
mv,,42.3826686607404,-71.0184266956858
ped,ALLEN ST,42.2476255846839,-71.1281647073149
ped,DARTMOUTH ST,42.3478506281515,-71.0761774497342
mv,HUNTINGTON AVE,42.333968400348,-71.105105805172
ped,STOUGHTON ST,42.3159630817923,-71.0626474503252
mv,,42.3372831546173,-71.0653071783305
ped,WASHINGTON ST,42.31507691575,-71.0990047456007
mv,,42.3282778350714,-71.0922698976487
mv,COLUMBIA RD,42.314649332531,-71.0671883008068
mv,COLUMBIA RD,42.3185538788236,-71.0636286972904
mv,,42.2702113545936,-71.0932649349327
ped,DEDHAM ST,42.3423865882584,-71.0733465078641
mv,,42.3834232399648,-71.0716391861421
ped,,42.2372256657736,-71.1319021669031
ped,SOUTHAMPTON ST,42.3310337371604,-71.0647422726335
ped,,42.3373491641369,-71.0780681986554
mv,,42.3439552541199,-71.0659417848252
ped,,42.3530857909717,-71.1321098301913
bike,,42.3542268494798,-71.1323887709948
mv,,42.3033947201801,-71.0785400391391
mv,,42.3491986108579,-71.1005950823813
bike,,42.3525871900135,-71.0554181413072
mv,,42.3001927210362,-71.1279217244119
mv,,42.3285741950836,-71.0792702067385
mv,,42.3019129877171,-71.0855436577785
ped,COMMONWEALTH AVE,42.3492132091503,-71.1008581477154
mv,,42.2831792633744,-71.0762648254293
mv,WINDSOR ST,42.3348623245676,-71.0838047319206
mv,,42.2734042457997,-71.0936855729001
ped,,42.2808544957036,-71.0845827811619
ped,,42.3491711153868,-71.0841307537019
mv,WILLIAM T MORRISSEY BLVD,42.2888541387042,-71.0445971510528
mv,GEORGE ST,42.3242848653643,-71.071399407913
mv,WASHINGTON ST,42.258190400553,-71.1609207384104
mv,,42.2666229625366,-71.1182703884754
mv,DORCHESTER AVE,42.3060377901595,-71.0587793480201
mv,,42.3076387559169,-71.0890277313845
mv,ADAMS ST,42.2773379347054,-71.0602357759742
mv,,42.3427291756745,-71.1031892538561
mv,COMMONWEALTH AVE,42.3509070468759,-71.0810731188168
mv,WARREN AVE,42.3445373763752,-71.0735940940291
ped,MINOT ST,42.2836940559468,-71.0548846015136
mv,,42.2571771682061,-71.1268327744547
ped,BOWDOIN ST,42.3082984628175,-71.0648302124949
mv,,42.3045079589817,-71.0794249152107
mv,,42.3204650930006,-71.0777619426976
ped,,42.3575886552133,-71.1376731900719
ped,POND ST,42.3116000839015,-71.1281798388198
mv,,42.314130587962,-71.0941077760085
mv,DARTMOUTH ST,42.3484709197681,-71.0764940972093
mv,NORTHAMPTON ST,42.3338888356778,-71.0753421432327
mv,,42.3628781969776,-71.0563781615374
mv,,42.3108430379241,-71.0815620644525
mv,,42.2637369731729,-71.1017915176651
ped,,42.3639202030702,-71.0633391713399
mv,,42.2601630036402,-71.1584313799487
mv,,42.303585169535,-71.0775332679375
ped,HANO ST,42.3556458993653,-71.1373254522657
mv,,42.3475131874988,-71.1017572661117
ped,,42.3440427447996,-71.0620580852185
ped,DUDLEY ST,42.3219814483819,-71.0724325155778
ped,DECKARD ST,42.3158995768564,-71.08518740083
mv,,42.3578647971208,-71.126422169036
mv,GROVE ST,42.2628320867639,-71.1574398260006
mv,,42.3203062375521,-71.0850026156468
ped,,42.3060470687586,-71.0782088535748
mv,,42.3624432062865,-71.0572831973072
ped,,42.3510216699581,-71.1158074820838
mv,MASSACHUSETTS AVE,42.3209344257695,-71.061918931809
mv,COLUMBIA RD,42.3113591157816,-71.0702062004546
mv,,42.3399336436355,-71.1661203548888
mv,,42.3438147802498,-71.1429626433704
mv,DUDLEY ST,42.3227077510223,-71.0729282255999
mv,,42.356980932304,-71.1329425384457
mv,LEVERETT CIR,42.3667015354955,-71.0679019675722
mv,TRUMAN PKWY,42.2359287332576,-71.1249914833573
mv,,42.3675196524737,-71.0256587104831
mv,WILLIAM F MCCLELLAN HWY,42.3930526412355,-71.0119658533761
mv,,42.2986341584531,-71.060636008532
mv,,42.3630130590034,-71.0534329068787
mv,FORDHAM RD,42.3514546317361,-71.1279158406702
mv,MAGNOLIA ST,42.3160500222798,-71.0710394517296
mv,HYDE PARK AVE,42.2808014347329,-71.1188987258338
mv,,42.2993956567165,-71.0736533595032
mv,,42.3237741246441,-71.0552761379171
mv,,42.3742302689745,-71.0390511019896
mv,FOREST HILLS ST,42.3049240546454,-71.1029794244306
mv,BATTERY WHRF,42.3664178578577,-71.0513946782056
ped,TREMONT ST,42.3575627095997,-71.0608727646573
